name_th,name_en,juristic_id,registration_type,company_status,registered_capital,number_of_years_in_operation,registration_date,phone_number,industry_group,business_size,tsic_code_year_of_update
,Monahan and Sons,8782065481434,48357,1,8208775,2,04/11/2021,251-646-8503,66814,554588,48709
,"Feeney, Prosacco and Rippin",456882410416,85369,0,9289327,0,21/02/2023,785-253-2215,75538,126282,813
,Strosin-Watsica,6914982015421,45914,1,30436969,2,03/06/2021,852-980-7362,69799,703618,19972
,"Nikolaus, Barton and Konopelski",6267758449105,39925,1,8131477,3,15/05/2020,256-340-2815,4495,597874,98954
,"Turcotte, Armstrong and Wisoky",4549166907791,32216,1,87221876,3,21/02/2020,946-238-1446,35039,578104,66641
,"Rutherford, Nienow and Yost",9836402864089,29583,1,56842959,3,25/09/2020,273-474-3828,66915,841098,22115
,Stamm and Sons,1040802862151,30313,1,64809704,3,12/11/2020,172-192-1084,3276,948797,19345
,"Heller, Champlin and Kunde",240780135116,81444,1,11902231,3,22/06/2020,779-925-7943,70927,783184,38141
,Abbott-Schneider,1320551511636,69769,0,61889587,1,02/05/2022,352-482-0502,61003,857452,53734
,"Flatley, Lind and Leffler",1763109001233,17657,1,64259257,1,17/04/2022,670-983-0999,89782,475190,84417
,Gorczany Group,3951615505141,79405,0,38071390,3,05/01/2020,680-844-3939,62283,418763,88792
,"Corwin, Kovacek and Zboncak",1752748439062,50968,1,78579764,2,26/10/2021,558-578-6725,86080,335787,31431
,Mraz-Hauck,1500844035338,28578,1,67946250,0,30/04/2023,141-820-6507,26958,164086,54006
,"Fahey, Wunsch and Fisher",9199182342695,25476,1,94663322,3,11/01/2020,559-900-6045,88773,814245,56499
,"Towne, Schmeler and Osinski",8448941440264,79894,0,47003928,1,28/07/2022,876-253-2685,13957,642703,23778
,Kessler Group,8732746320936,76615,0,67785643,2,03/09/2021,364-742-5740,45694,299025,10923
,Jacobi Group,7410762716535,45010,1,52053757,3,21/09/2020,936-782-0026,24605,905460,72836
,Hartmann Group,6240958540949,18778,1,97200951,1,22/04/2022,909-513-5020,88706,327792,99387
,"Bahringer, Sipes and Becker",5348712303632,97872,0,85402361,1,25/12/2022,235-751-3767,29293,293266,81908
,Hermiston and Sons,200200230536,40637,0,34362915,3,10/02/2020,169-815-6465,37998,416089,63812
,Ferry-Bailey,6567766785407,44585,1,6675355,3,02/06/2020,155-539-3791,50848,167713,80660
,Willms and Sons,5281554615454,11735,1,8252936,2,04/03/2021,572-917-0677,33404,688036,50823
,Weimann Inc,1972552896623,27813,0,53829218,1,25/07/2022,619-895-4215,47616,367370,53039
,Pfeffer-Witting,3004757325821,81755,1,3629558,3,03/05/2020,295-275-9024,85945,560860,70199
,"Bashirian, Morissette and Schamberger",5641143556215,97823,1,27746130,0,28/02/2023,565-324-4825,9232,821487,42490
,"Robel, Kub and Hudson",2027936873993,54523,0,38070903,3,14/06/2020,645-398-7040,68906,651961,61263
,Kirlin-Koelpin,8968809312476,83540,0,30399236,3,25/02/2020,824-931-1002,57629,354562,9016
,McLaughlin-Kautzer,4004966582394,92601,0,91924493,1,20/10/2022,315-936-3400,87091,986105,80490
,Gerhold Inc,4046767268938,18669,0,49514335,2,27/11/2021,989-770-0511,99386,297798,46392
,Thompson-Block,6628382721476,45094,1,82765203,3,14/10/2020,821-885-8371,10835,9836,30078
,Schoen-Jerde,2422029772518,72743,1,74860047,0,05/03/2023,588-535-1287,19773,17520,44901
,"Bernier, Tremblay and Gulgowski",3920657946942,45284,0,23520717,3,20/05/2020,780-206-4544,67181,325961,58675
,"Aufderhar, Ernser and Bradtke",7918486989844,60286,1,67586645,2,03/04/2021,844-382-5010,82442,856985,81589
,"Ferry, Ryan and VonRueden",735369735532,13091,1,7074838,3,29/02/2020,609-344-4430,53164,327776,68903
,Rippin Group,607513472301,70621,1,55613089,3,03/06/2020,963-300-4102,32686,668197,72746
,Murray and Sons,2889581466986,57138,0,12326794,1,30/08/2022,987-382-2127,36444,861165,30327
,Stokes and Sons,41693538265,60442,0,90916100,2,02/03/2021,935-567-6789,17564,268392,69463
,"Bailey, Littel and Reinger",405908534908,91757,1,5305346,0,15/02/2023,857-665-6770,62366,980474,27269
,"Kling, Williamson and Brekke",9321149021063,92357,1,46705316,0,14/02/2023,342-907-7963,54770,549220,1772
,"D'Amore, McGlynn and Connelly",4905309420605,73149,1,66733184,3,09/04/2020,284-632-2483,32169,134431,30802
,"Powlowski, Fisher and Durgan",7292449925391,11019,1,88178157,3,14/12/2020,974-588-3172,57240,518840,4626
,Zieme-Hudson,1185995326342,32705,0,55100523,2,21/11/2021,740-914-0692,54708,612646,23714
,Daniel LLC,6240070631058,50047,1,76063601,1,29/04/2022,817-124-5476,53298,961845,71061
,Raynor-Jacobi,8688383910465,57656,1,5014523,0,02/07/2023,862-440-4295,72737,258155,49877
,Hamill and Sons,5405395757365,35293,0,95069467,2,22/05/2021,929-862-6289,77414,713750,68139
,Kautzer-Crona,855543424203,44868,1,9649283,2,01/11/2021,352-303-2657,27803,807845,82326
,Cormier-Schroeder,6479656717122,88801,1,65171963,2,11/01/2021,614-706-6101,50739,448336,46045
,Wiza LLC,1758718037720,19548,1,34457252,3,20/09/2020,635-512-8260,58416,378117,46054
,Zieme LLC,5525405898409,36587,0,50612644,1,14/04/2022,411-364-6752,61891,179325,1516
,Wolf LLC,1065204623726,41906,1,21898887,1,21/03/2022,117-674-7810,71666,961306,5535
,Harvey Group,7868529996605,38976,0,92252608,2,23/03/2021,515-728-7972,43796,197759,16616
,"Kuvalis, Hintz and Herzog",8407672248900,44445,0,83113602,0,29/04/2023,256-937-7414,31174,35868,81708
,Leuschke-Wiza,2486250063999,36449,1,72151701,1,26/08/2022,207-337-6778,84356,153782,50339
,Harvey-Hudson,93441280150,52686,1,72139958,2,20/01/2021,239-513-0406,66753,532978,5878
,"Schuppe, Spinka and Dietrich",9180106269069,80809,1,20029879,3,27/01/2020,908-643-5576,19703,4731,99591
,Blanda-Langworth,8359575510693,41393,0,42246138,2,17/01/2021,708-244-6320,55445,93049,7044
,Olson and Sons,4422813849199,33088,1,31950473,1,16/09/2022,270-678-6968,82228,236302,81971
,"Spencer, Harber and Weissnat",5708324278058,53855,0,71355557,3,31/08/2020,629-282-7200,43013,398893,92337
,Olson-Cummerata,3846365120940,71165,1,2016881,1,31/12/2022,232-748-1537,70590,953806,24568
,Bechtelar Inc,2142441200732,29098,0,33439876,3,15/08/2020,128-394-0900,74351,688267,32490
,Mosciski and Sons,8305230952384,48384,0,91264128,1,09/10/2022,296-280-0068,18692,696223,6031
,Stiedemann and Sons,8439931398135,24498,0,29776721,2,28/11/2021,103-301-8319,39792,51639,74362
,Stamm Group,2647375609464,40739,1,51977221,1,11/05/2022,104-401-4493,9603,756172,9485
,Abbott-Witting,2013322474354,41767,1,62726590,2,24/11/2021,800-279-3750,95196,212765,41299
,"Bruen, Kreiger and Satterfield",8026632697416,63830,0,47433529,0,07/02/2023,129-610-8145,99372,277861,95990
,"Will, Rohan and Prosacco",9076425359421,49264,1,63905023,1,19/02/2022,174-264-5647,28792,926977,55417
,Moen-Jakubowski,9199146825969,55378,0,92572924,1,01/02/2022,188-521-5006,29681,119700,95816
,Torp-Pacocha,9002524157793,19779,1,12396720,0,22/07/2023,671-583-9502,57942,578602,74852
,Hoppe Inc,9415886432036,68643,0,10230414,3,17/04/2020,697-236-9288,85123,863989,14167
,"Harris, VonRueden and Hintz",5851880776109,77555,0,45513172,2,17/02/2021,715-133-6699,40261,37352,2658
,Zemlak Group,433481675171,25732,0,23652301,3,29/12/2020,198-490-2614,93919,432955,91630
,O'Hara-Gleason,2970012144788,91170,0,58078306,2,10/11/2021,716-818-6944,89357,982068,61627
,Swaniawski Inc,9210601495692,43567,0,59401233,3,22/07/2020,502-691-1081,95519,996230,12481
,Lebsack Group,4808303834908,51196,1,27425316,3,17/09/2020,881-388-7994,62115,163759,16730
,Dare LLC,3050555821750,86893,0,6821251,3,29/10/2020,950-650-5051,13825,240030,2691
,Fritsch-Kemmer,6545347911814,74924,0,69798342,3,19/03/2020,701-651-9367,55402,979615,64025
,Wunsch Group,7647746544742,40915,1,60768115,1,19/08/2022,916-581-1274,72838,763730,69787
,"Torp, Stracke and Homenick",3984364037099,35856,1,17945445,2,25/07/2021,128-926-5383,49586,156900,9572
,Prohaska LLC,4452087051073,19532,0,99222589,0,13/07/2023,399-240-3920,19525,244275,27673
,"Bailey, Lynch and Prosacco",6746346392224,38101,1,86757665,0,12/07/2023,790-168-8435,47703,247408,55568
,Gusikowski Inc,9864171069512,88109,1,90225549,1,26/08/2022,855-861-4571,30171,844000,676
,Kessler Group,8148926626791,48192,0,89746020,2,21/12/2021,128-754-7464,60421,129615,78829
,Von Group,8128381623511,27288,0,2742533,2,25/09/2021,213-208-2605,69265,414293,32996
,Morar-McKenzie,4788463620771,72816,0,93172714,2,03/05/2021,456-826-2446,30495,7873,58797
,"Ledner, McDermott and Kessler",4027177049794,94044,1,60796842,0,28/04/2023,498-938-6624,31598,889976,84568
,"Davis, Hintz and Bradtke",8717623574960,54109,1,98336365,3,17/01/2020,887-134-2862,43519,405917,6746
,Glover Group,2115530637821,82040,0,39719465,3,31/05/2020,373-490-7891,65110,835943,25865
,"Bradtke, Walsh and Kreiger",6213346968428,34588,0,16152999,0,22/04/2023,937-835-3980,17016,845501,28137
,Davis-Bartoletti,7299036173652,63435,1,97680416,2,24/03/2021,293-815-6550,2930,279117,75494
,McClure and Sons,3883106673418,31216,0,78956927,2,15/12/2021,401-478-7675,11537,260894,60144
,"Lowe, Waelchi and Howell",9123944995915,76797,1,85931503,1,22/02/2022,788-968-7199,56558,398667,37003
,Brekke Group,5208449650264,14115,1,56375276,2,06/09/2021,107-400-1339,7316,325567,31115
,Ledner-Shields,7958730502366,35290,0,24733962,0,07/01/2023,133-977-2102,75441,389293,79512
,Muller and Sons,8107017551869,19492,1,89331547,1,26/12/2022,509-398-6242,44945,731798,56195
,Koss-Nikolaus,6675786524847,34511,0,24696369,1,11/06/2022,660-568-4005,54515,816160,81215
,Blanda-Weber,7839520606243,74240,0,97378220,1,20/10/2022,801-663-5399,37496,922730,33876
,"Kuhlman, Ullrich and Rippin",9806578375490,88549,1,22791899,3,31/07/2020,313-954-6600,4247,751036,22386
,"Bernier, Stiedemann and Grimes",4118638610892,25638,1,37284709,2,06/02/2021,942-420-8318,18436,924927,54012
,Kling LLC,5953765639065,20459,1,55823126,2,29/07/2021,574-117-1124,74687,425804,56653
,Mann-Nikolaus,9547221170796,15923,1,27542056,2,28/01/2021,949-658-4790,52557,449999,85457
,Rodriguez LLC,7627897217803,97551,0,35933684,3,14/02/2020,828-389-5128,12009,628005,43802
,Beatty-McDermott,7185827871042,60721,0,9066148,1,26/10/2022,740-194-0030,88520,657408,1253
,"Labadie, Blick and Wilkinson",4326519981513,79644,0,6646639,1,07/12/2022,655-341-7228,30791,417147,4379
,"Aufderhar, Predovic and Kemmer",1620244245516,19384,1,38373874,3,18/02/2020,194-140-3519,2653,231343,30763
,Hackett LLC,2436153851262,72018,0,49941510,0,05/02/2023,639-941-8357,13637,588376,95687
,"Gleason, Zemlak and Gibson",1168463327402,50387,1,13186612,3,20/01/2020,102-128-4164,99612,282811,68151
,Watsica Inc,2008969006400,83836,0,16501547,3,17/04/2020,801-176-0561,91650,89998,41200
,Runolfsdottir-Watsica,5628277363785,52410,0,14571621,3,18/01/2020,739-955-1678,60810,124319,15051
,Schneider-Keeling,7676476363584,35137,1,42035970,0,21/04/2023,192-998-6762,81160,78145,2774
,"Tromp, Lynch and Ankunding",8801931954314,14726,1,75264549,2,25/06/2021,560-224-0285,36406,235254,63078
,Sauer LLC,7767803373378,61615,0,7464925,0,28/06/2023,639-513-7696,151,937297,40729
,"Padberg, Bailey and Klein",746841356690,41898,0,70598924,3,12/12/2020,917-210-0587,91883,864617,69039
,Schulist LLC,2961155737286,82810,0,71912278,3,16/09/2020,596-702-5549,62321,391443,61781
,Fisher-Balistreri,7780533147563,91569,0,16183882,3,08/11/2020,289-304-6832,78470,547089,11243
,"Howe, Orn and Champlin",7525899613499,57288,1,37132076,1,10/09/2022,770-389-5397,88908,965651,9069
,Steuber-Hartmann,3027406348778,82793,1,9423346,1,31/03/2022,224-848-1389,48883,591220,62321
,Conroy Inc,1210906166568,89087,1,33220395,1,18/09/2022,676-775-2612,7655,260309,86024
,"Wilkinson, Hammes and Kautzer",3375559880596,51272,1,39893384,1,31/10/2022,812-574-5488,88196,955698,57938
,"Wilderman, Murray and Heaney",4485733961849,87487,1,32152064,2,06/07/2021,521-975-1855,39428,854795,79253
,"Lakin, Schroeder and Yost",1530879832258,17209,1,27584810,2,01/04/2021,943-406-8363,69053,199989,34598
,Gleichner Inc,8254690936416,95413,1,79805004,3,02/06/2020,695-525-3620,53788,488333,83687
,"Will, O'Keefe and Veum",1576452916787,93950,1,70060263,2,19/08/2021,894-838-0394,666,201608,41943
,"Kassulke, Bernhard and Fritsch",9379370552655,90952,1,59663885,1,27/06/2022,866-618-5304,31592,946646,65358
,Schaden-Zulauf,2309587190653,88748,0,61688473,3,01/10/2020,307-799-0404,80867,518485,48338
,"Upton, Purdy and Marks",8907124500715,79714,1,74249164,0,22/01/2023,318-654-7369,33216,143521,10517
,Paucek-Labadie,7242001179003,95795,1,84147242,2,13/07/2021,645-349-1285,98708,30989,4593
,"Becker, Goldner and Cassin",2277974006279,93657,0,68286730,0,09/04/2023,674-795-2576,71423,705394,65084
,Bechtelar LLC,1903688480684,95754,1,3349101,0,27/02/2023,666-239-2300,96593,480324,11279
,"Dach, Purdy and Sanford",8536436305522,31926,0,49713874,1,05/06/2022,120-548-5878,59074,812875,48439
,Schamberger LLC,8974238681086,56809,0,56773123,0,08/07/2023,285-130-5112,5536,810323,30639
,O'Reilly-Ortiz,9727155297560,21145,1,9662291,3,27/02/2020,314-766-2887,39365,87798,90839
,"Walker, Thiel and Dickens",5332666824569,18185,1,92742912,1,30/04/2022,468-448-0176,64664,532221,66462
,"Aufderhar, Lebsack and Cummerata",1055521254488,72241,0,38082120,3,13/01/2020,152-153-7403,49607,301622,33219
,Pacocha-Trantow,4583836212626,86237,0,33794500,0,05/01/2023,613-886-7782,83264,345625,46165
,Gleason-Kunde,5494350896107,55302,1,36950019,2,18/07/2021,988-549-4435,91646,442703,52533
,"Block, Kihn and Luettgen",8895728392690,48587,0,48499822,2,27/08/2021,930-349-3940,62737,624708,4126
,Larkin-Kerluke,2928126897819,29187,0,25244501,2,02/08/2021,297-623-8664,86975,233740,64695
,Osinski-Schamberger,2791988951070,78562,1,67002778,2,13/04/2021,810-417-4005,70239,339483,35098
,Greenholt-Erdman,6191498805684,34818,1,56063458,3,03/10/2020,481-237-1913,49153,808734,56529
,"Larson, Mitchell and Wiza",2661981319173,24463,1,44870124,3,17/07/2020,319-238-2044,43756,405046,22721
,Cartwright-Lueilwitz,9935420367532,60885,1,70532455,2,11/06/2021,937-970-0414,7790,586491,21902
,O'Keefe Group,3243356376706,94029,0,6968109,0,11/04/2023,624-596-4226,7919,391555,2451
,Padberg-Wuckert,2633393146007,13045,1,46631509,2,06/01/2021,787-963-7214,52216,712694,52358
,Lakin-Yost,8219895017834,21436,0,9143750,0,07/03/2023,640-854-1111,31058,26451,49546
,"Bradtke, Feil and Mayert",4205995374813,27575,0,25384327,1,06/06/2022,176-412-4648,84302,884453,20508
,"Hahn, Satterfield and O'Reilly",1868012275709,97227,1,66150244,2,14/08/2021,612-693-8213,86315,113666,23181
,Anderson-Koch,7614476918380,75898,1,18166044,3,02/04/2020,646-464-3000,71847,272154,89656
,Williamson Inc,6229603490696,43315,1,67967605,3,15/12/2020,420-654-1231,92604,655265,41781
,Muller LLC,7387739603951,57212,0,51131036,3,25/04/2020,116-634-9037,43256,925892,59365
,"Klein, Schulist and Bailey",7913567996494,11306,1,89381591,2,15/03/2021,336-914-0943,67029,828534,62622
,Stiedemann Group,7667579463779,81297,1,44474512,2,03/01/2021,210-321-3809,99777,629624,91035
,Conn and Sons,505008839182,89757,0,77538116,2,28/04/2021,696-895-5417,83296,692019,96004
,"Grant, Pacocha and O'Keefe",8010299708330,90019,1,57146617,0,04/03/2023,564-211-8172,79043,747364,8524
,"Pagac, Bogan and Wiza",1240275695596,84524,1,77862623,1,06/06/2022,404-656-9622,44246,125671,20127
,Reilly Inc,9003183712211,27542,0,59796378,3,23/02/2020,380-717-5361,23059,728625,43583
,Oberbrunner-Stokes,3969072837860,40272,1,78286082,2,20/08/2021,965-622-1072,6503,891129,3414
,Crona Inc,6390896451348,84221,1,49873970,1,09/08/2022,784-185-1157,37926,280364,7991
,Lind LLC,1426852001048,53957,0,92904446,0,22/07/2023,570-138-2402,90396,789134,58414
,Hegmann Inc,1496043684055,60718,0,39307251,2,16/10/2021,684-113-5615,72153,355321,22794
,"Bauch, Pacocha and Erdman",1539233486618,58428,1,17999457,3,17/03/2020,565-663-6105,32799,184408,16528
,Grady and Sons,7970937593395,56501,1,29619014,3,04/06/2020,704-465-1535,92212,748828,90828
,Witting-Wiegand,2154153682086,56472,1,56828915,0,24/06/2023,613-726-7754,90693,286561,24020
,Johns-Mohr,6097917067220,39558,1,71140498,2,02/04/2021,204-707-8284,16138,422498,40943
,Corkery-Schamberger,4040894424716,37427,1,25288117,0,03/03/2023,613-660-1287,41978,654328,59753
,"Breitenberg, Koepp and Rohan",3239895086402,40269,1,94514679,3,24/01/2020,479-351-7570,52938,727269,48291
,"Murphy, Haley and Witting",2125326737655,21817,1,39373863,3,03/04/2020,489-941-5750,25507,30300,51065
,Schinner and Sons,627113228012,28737,1,95543064,1,11/02/2022,517-943-6382,7335,789783,33280
,Predovic LLC,4883661219174,87181,0,49151166,2,08/06/2021,493-781-1563,99580,743814,19806
,"Bergnaum, Larson and Reichel",365817759315,74490,1,28968036,2,01/11/2021,171-236-4328,56157,229272,42661
,"Green, Beahan and Daugherty",6716991594176,37753,1,39029299,1,19/08/2022,759-197-9067,37745,774337,64909
,Romaguera-Harvey,9725069195241,81475,1,24055229,3,10/12/2020,236-387-4363,10712,676911,78797
,Walker Group,9983672016595,36309,1,50423761,1,15/08/2022,749-928-7775,68275,205139,35689
,Trantow LLC,2482700483058,78795,0,91517691,2,15/04/2021,454-418-5148,36220,28354,301
,Skiles Inc,8001097695377,22948,1,19036134,0,28/03/2023,242-924-0604,63825,607723,72161
,"Hartmann, Blanda and Bayer",3391990695873,56878,1,11027135,2,03/06/2021,420-673-4223,32512,203745,58957
,"Huel, Aufderhar and Kris",8847176233937,88238,1,2749553,1,01/10/2022,453-842-1685,37367,46879,42225
,Padberg LLC,2254026830507,67367,1,17608270,1,18/11/2022,558-887-0757,2096,680207,45706
,Braun-Jenkins,3955378815971,52508,1,96155290,2,26/09/2021,311-163-2015,43983,716435,2321
,Weimann Inc,9092780518726,83173,0,20788576,3,11/08/2020,225-191-2722,52258,166623,75763
,Kihn Group,8382797313898,98738,1,41954565,1,10/10/2022,571-646-4400,29879,191815,73463
,"Kessler, Waelchi and Welch",1606456018827,77466,0,47101792,2,29/09/2021,904-354-7408,99586,734245,62522
,Mills-Cole,3893858833499,10163,1,59690216,1,16/12/2022,780-559-9550,71855,433281,71239
,Barton Group,623763018974,70051,1,40729800,1,18/06/2022,172-359-5591,59424,327815,96002
,Ziemann-Dietrich,5885206488020,61208,1,35841556,2,19/09/2021,386-138-7826,61081,777429,49620
,Schimmel-Shanahan,3353325309054,15522,0,8018021,2,04/06/2021,619-548-8699,53408,882476,17705
,Miller Group,3516523591708,71593,1,82035880,3,09/09/2020,811-877-8148,2835,737543,44363
,"Gibson, Beer and Daugherty",410870651133,27349,0,55780210,3,26/10/2020,326-730-2058,9856,683130,85457
,Waelchi-Schowalter,6293127659399,60267,1,91434895,0,26/06/2023,703-176-4252,16884,620898,51855
,"Fahey, Treutel and Parisian",6667189364378,22338,0,25478530,0,25/08/2023,373-750-4257,48455,867983,6154
,Wolf and Sons,8076557245177,38204,1,41511683,1,14/02/2022,960-113-2008,53318,205474,34142
,Abernathy-Collins,6139795091150,90870,0,75295722,1,14/08/2022,450-601-8559,78646,271851,91244
,Bahringer-Metz,6618739374188,64715,1,71147283,3,26/05/2020,179-333-0214,29818,319761,88243
,Lowe and Sons,8271137191445,75444,1,26442723,0,26/06/2023,222-638-4839,23280,750230,33378
,Witting-Dooley,2060984595508,23528,0,25260706,0,08/03/2023,104-915-8032,89086,696052,76695
,Boyer LLC,2872992855896,17281,0,46838035,2,28/05/2021,168-850-5653,73518,949150,86853
,"Hyatt, Stokes and Kuphal",2200522924540,33179,0,36521421,2,20/11/2021,210-124-3425,60790,250649,42334
,Bins-McLaughlin,3155379872116,35910,0,62416660,3,13/10/2020,811-790-7263,81844,471881,32312
,"Wisoky, Heller and Lakin",1461541326871,37497,1,16567448,0,28/03/2023,300-996-1536,58908,267023,77334
,D'Amore Group,2281998901341,60004,0,37542986,2,18/08/2021,949-708-0586,62266,586910,62263
,Swaniawski and Sons,2233191201843,37855,0,25504672,1,07/07/2022,476-709-8555,82487,150723,93572
,"Heaney, Pollich and Weimann",4820905802517,29366,0,24244963,2,06/04/2021,969-913-3456,38960,391468,72726
,"Medhurst, Kulas and Stracke",9103328595398,93769,0,76127099,1,27/01/2022,379-813-1514,94371,997660,24863
,Treutel Group,5926854533154,67654,0,45161034,3,19/09/2020,285-750-4752,24536,931460,835
,"Kiehn, Tremblay and Botsford",1101215590098,59398,0,99650554,3,27/09/2020,421-466-3856,47389,405983,30856
,"Boehm, Renner and Gottlieb",2534456025955,47655,1,65432690,3,30/01/2020,878-186-5026,7773,452361,82410
